Age	Attrition	BusinessTravel	Department	DistanceFromHome	Education	EnvironmentSatisfaction	JobRole	MonthlyIncome	OverTime	PerformanceRating	TotalWorkingYears	YearsAtCompany
41	Yes	Travel_Rarely	Sales	1	2	2	Sales Executive	5993	Yes	3	8	6
49	No	Travel_Frequently	Research & Development	8	1	3	Research Scientist	5130	No	4	10	10
37	Yes	Travel_Rarely	Research & Development	2	2	4	Laboratory Technician	2090	Yes	3	7	0
33	No	Travel_Frequently	Research & Development	3	4	4	Research Scientist	2909	Yes	3	8	8
27	No	Travel_Rarely	Research & Development	2	1	1	Laboratory Technician	3468	No	3	6	2
32	No	Travel_Frequently	Research & Development	2	2	4	Laboratory Technician	3068	No	3	8	7
59	No	Travel_Rarely	Research & Development	3	3	3	Laboratory Technician	2670	Yes	4	12	1
30	No	Travel_Rarely	Research & Development	24	1	4	Laboratory Technician	2693	No	4	1	1
38	No	Travel_Frequently	Research & Development	23	3	4	Manufacturing Director	9526	No	4	10	9
36	No	Travel_Rarely	Research & Development	27	3	3	Healthcare Representative	5237	No	3	17	7
35	No	Travel_Rarely	Research & Development	16	3	1	Laboratory Technician	2426	No	3	6	5
29	No	Travel_Rarely	Research & Development	15	2	4	Laboratory Technician	4193	Yes	3	10	9
31	No	Travel_Rarely	Research & Development	26	1	1	Research Scientist	2911	No	3	5	5
34	No	Travel_Rarely	Research & Development	19	2	2	Laboratory Technician	2661	No	3	3	2
28	Yes	Travel_Rarely	Research & Development	24	3	3	Laboratory Technician	2028	Yes	3	6	4
29	No	Travel_Rarely	Research & Development	21	4	2	Manufacturing Director	9980	No	3	10	10
32	No	Travel_Rarely	Research & Development	5	2	1	Research Scientist	3298	Yes	3	7	6
22	No	Non-Travel	Research & Development	16	2	4	Laboratory Technician	2935	Yes	3	1	1
53	No	Travel_Rarely	Sales	2	4	1	Manager	15427	No	3	31	25
38	No	Travel_Rarely	Research & Development	2	3	4	Research Scientist	3944	Yes	3	6	3
24	No	Non-Travel	Research & Development	11	2	1	Manufacturing Director	4011	No	3	5	4
36	Yes	Travel_Rarely	Sales	9	4	3	Sales Representative	3407	No	4	10	5
34	No	Travel_Rarely	Research & Development	7	4	1	Research Director	11994	No	3	13	12
21	No	Travel_Rarely	Research & Development	15	2	3	Research Scientist	1232	No	3	0	0
34	Yes	Travel_Rarely	Research & Development	6	1	2	Research Scientist	2960	No	3	8	4
53	No	Travel_Rarely	Research & Development	5	3	3	Manager	19094	No	3	26	14
32	Yes	Travel_Frequently	Research & Development	16	1	2	Research Scientist	3919	Yes	4	10	10
42	No	Travel_Rarely	Sales	8	4	3	Sales Executive	6825	No	3	10	9
44	No	Travel_Rarely	Research & Development	7	4	1	Healthcare Representative	10248	No	3	24	22
46	No	Travel_Rarely	Sales	2	4	2	Manager	18947	No	3	22	2
33	No	Travel_Rarely	Research & Development	2	3	3	Laboratory Technician	2496	No	3	7	1
44	No	Travel_Rarely	Research & Development	10	4	4	Healthcare Representative	6465	Yes	3	9	4
30	No	Travel_Rarely	Research & Development	9	2	4	Laboratory Technician	2206	No	3	10	10
39	Yes	Travel_Rarely	Sales	5	3	4	Sales Representative	2086	No	3	19	1
24	Yes	Travel_Rarely	Research & Development	1	3	2	Research Scientist	2293	Yes	3	6	2
43	No	Travel_Rarely	Research & Development	2	2	4	Research Scientist	2645	No	3	6	5
50	Yes	Travel_Rarely	Sales	3	2	1	Sales Representative	2683	Yes	3	3	3
35	No	Travel_Rarely	Sales	2	3	4	Sales Representative	2014	No	3	2	2
36	No	Travel_Rarely	Research & Development	5	4	2	Research Scientist	3419	Yes	3	6	1
33	No	Travel_Frequently	Sales	1	3	3	Sales Executive	5376	No	3	10	5
35	No	Travel_Rarely	Research & Development	4	2	3	Laboratory Technician	1951	No	3	1	1
27	No	Travel_Rarely	Research & Development	2	4	4	Laboratory Technician	2341	No	3	1	1
26	Yes	Travel_Rarely	Research & Development	25	3	1	Laboratory Technician	2293	No	3	1	1
27	No	Travel_Frequently	Sales	8	3	4	Sales Executive	8726	No	3	9	9
30	No	Travel_Frequently	Research & Development	1	2	3	Laboratory Technician	4011	No	4	12	12
41	Yes	Travel_Rarely	Research & Development	12	3	2	Research Director	19545	No	3	23	22
34	No	Non-Travel	Sales	23	4	2	Sales Executive	4568	No	4	10	9
37	No	Travel_Rarely	Research & Development	19	2	2	Research Scientist	3022	No	4	8	1
46	No	Travel_Frequently	Sales	5	4	1	Sales Executive	5772	Yes	4	14	9
35	No	Travel_Rarely	Research & Development	8	1	4	Laboratory Technician	2269	No	3	1	1
48	Yes	Travel_Rarely	Research & Development	1	2	1	Laboratory Technician	5381	Yes	3	23	1
28	Yes	Travel_Rarely	Research & Development	5	4	3	Laboratory Technician	3441	Yes	3	2	2
44	No	Travel_Rarely	Sales	1	5	2	Sales Executive	5454	Yes	4	9	4
35	No	Non-Travel	Research & Development	11	2	3	Healthcare Representative	9884	Yes	3	10	4
26	No	Travel_Rarely	Sales	23	3	3	Sales Executive	4157	Yes	3	5	2
33	No	Travel_Frequently	Research & Development	1	2	1	Research Director	13458	Yes	3	15	15
35	No	Travel_Frequently	Sales	18	5	2	Sales Executive	9069	No	4	9	9
35	No	Travel_Rarely	Research & Development	23	4	3	Laboratory Technician	4014	Yes	3	4	2
31	No	Travel_Rarely	Research & Development	7	4	4	Laboratory Technician	5915	No	4	10	7
37	No	Travel_Rarely	Research & Development	1	4	1	Manufacturing Director	5993	No	3	7	7
32	No	Travel_Rarely	Research & Development	1	3	1	Manufacturing Director	6162	Yes	4	9	9
38	No	Travel_Frequently	Research & Development	29	5	4	Laboratory Technician	2406	No	3	10	10
50	No	Travel_Rarely	Research & Development	7	2	2	Research Director	18740	Yes	3	29	27
59	No	Travel_Rarely	Sales	25	3	1	Sales Executive	7637	No	3	28	21
36	No	Travel_Rarely	Research & Development	8	3	3	Healthcare Representative	10096	No	3	17	17
55	No	Travel_Rarely	Research & Development	8	3	4	Manager	14756	Yes	3	21	5
36	No	Travel_Frequently	Research & Development	11	3	2	Manufacturing Director	6499	No	3	6	6
45	No	Travel_Rarely	Research & Development	7	3	2	Research Scientist	9724	No	3	25	1
35	No	Travel_Frequently	Research & Development	1	3	2	Research Scientist	2194	No	3	5	3
36	Yes	Travel_Rarely	Research & Development	9	3	4	Research Scientist	3388	Yes	3	2	1
59	No	Travel_Frequently	Sales	1	1	1	Sales Executive	5473	No	3	20	4
29	No	Travel_Rarely	Research & Development	2	3	3	Research Scientist	2703	No	4	6	5
31	No	Travel_Rarely	Research & Development	1	4	3	Research Scientist	2501	No	3	1	1
32	No	Travel_Rarely	Research & Development	1	3	2	Research Scientist	6220	No	3	10	10
36	No	Travel_Rarely	Research & Development	6	3	2	Laboratory Technician	3038	No	3	5	1
31	No	Travel_Rarely	Research & Development	8	4	3	Manufacturing Director	4424	No	4	11	11
35	No	Travel_Rarely	Sales	1	4	3	Sales Executive	4312	No	3	16	15
45	No	Travel_Rarely	Research & Development	6	4	4	Research Director	13245	Yes	3	17	0
37	No	Travel_Rarely	Research & Development	7	4	1	Research Director	13664	No	3	16	5
46	No	Travel_Rarely	Human Resources	5	2	2	Human Resources	5021	Yes	4	16	4
30	No	Travel_Rarely	Research & Development	1	1	4	Laboratory Technician	5126	Yes	3	10	10
35	No	Travel_Rarely	Research & Development	1	3	2	Research Scientist	2859	No	3	6	6
55	No	Travel_Rarely	Sales	1	2	1	Sales Executive	10239	No	3	24	1
38	No	Non-Travel	Research & Development	6	3	2	Research Scientist	5329	Yes	3	17	13
34	No	Travel_Rarely	Research & Development	1	2	1	Manufacturing Director	4325	No	3	5	5
56	No	Travel_Rarely	Research & Development	7	3	4	Manufacturing Director	7260	No	3	37	6
23	No	Travel_Rarely	Sales	2	1	3	Sales Representative	2322	No	3	3	0
51	No	Travel_Rarely	Research & Development	9	4	4	Laboratory Technician	2075	No	4	10	4
30	No	Travel_Rarely	Research & Development	2	3	3	Healthcare Representative	4152	No	3	11	11
46	Yes	Travel_Rarely	Sales	9	2	3	Sales Executive	9619	No	3	9	9
